year,audio_feature,value
2006,energy,0.6787291666666665
2007,energy,0.7159892473118281
2008,energy,0.7121122448979594
2009,energy,0.7303163265306121
2010,energy,0.7549583333333333
2011,energy,0.7534042553191489
2012,energy,0.7343402061855666
2013,energy,0.7073958333333334
2014,energy,0.69306
2015,energy,0.6572959595959594
2016,energy,0.6305101010101011
2017,energy,0.6294897959183675
2018,energy,0.6325050505050506
2019,energy,0.6171818181818182
2020,energy,0.6074999999999999
2021,energy,0.5963092783505157
1971,key,4.912087912087912
1972,key,5.414893617021277
1973,key,5.25
1974,key,5.623655913978495
1975,key,5.0
1976,key,4.96875
1977,key,5.043478260869565
1978,key,5.447916666666667
1979,key,4.728260869565218
1980,key,4.833333333333333
1981,key,5.25
1982,key,4.948453608247423
1983,key,5.164948453608248
1984,key,5.410526315789474
1985,key,5.4375
1986,key,4.946808510638298
1987,key,5.125
1988,key,4.8901098901098905
1989,key,5.574468085106383
1990,key,4.957446808510638
1991,key,4.842696629213483
1992,key,5.361702127659575
1993,key,5.260869565217392
1994,key,5.858695652173913
1995,key,5.827956989247312
1996,key,5.967391304347826
1997,key,5.53932584269663
1998,key,5.264367816091954
1999,key,5.5
2000,key,5.178947368421053
2001,key,4.78494623655914
2002,key,5.373626373626373
2003,key,5.578947368421052
2004,key,5.010526315789473
2005,key,5.578947368421052
2006,key,5.177083333333333
2007,key,5.354838709677419
2008,key,5.663265306122449
2009,key,5.122448979591836
2010,key,5.4375
2011,key,5.648936170212766
2012,key,5.144329896907217
2013,key,5.3125
2014,key,5.91
2015,key,4.737373737373737
2016,key,5.8686868686868685
2017,key,5.571428571428571
2018,key,5.808080808080808
2019,key,4.838383838383838
2020,key,5.704081632653061
2021,key,4.958762886597938
1971,loudness,-10.655153846153851
1972,loudness,-10.936117021276594
1973,loudness,-10.631608695652174
1974,loudness,-10.598419354838706
1975,loudness,-10.525822916666664
1976,loudness,-10.034833333333333
1977,loudness,-10.225891304347826
1978,loudness,-10.416666666666666
1979,loudness,-10.407771739130435
1980,loudness,-10.804266666666667
1981,loudness,-10.431635416666664
1982,loudness,-9.906618556701032
1983,loudness,-9.430195876288657
1984,loudness,-8.634105263157894
1985,loudness,-9.51666666666667
1986,loudness,-9.991202127659568
1987,loudness,-10.227781249999994
1988,loudness,-9.457417582417586
1989,loudness,-9.301851063829787
1990,loudness,-9.165893617021277
1991,loudness,-9.809471910112357
1992,loudness,-9.297170212765957
1993,loudness,-9.781923913043478
1994,loudness,-8.68513043478261
1995,loudness,-8.302236559139784
1996,loudness,-7.926500000000001
1997,loudness,-8.352303370786515
1998,loudness,-7.818586206896551
1999,loudness,-7.1740869565217364
2000,loudness,-6.176747368421053
2001,loudness,-5.933462365591398
2002,loudness,-5.756505494505496
2003,loudness,-5.8926736842105285
2004,loudness,-6.056010526315789
2005,loudness,-6.007021052631577
2006,loudness,-5.871708333333334
2007,loudness,-5.483946236559139
2008,loudness,-5.441795918367348
2009,loudness,-5.043714285714285
2010,loudness,-4.749614583333333
2011,loudness,-5.040382978723403
2012,loudness,-5.19498969072165
2013,loudness,-5.555645833333333
2014,loudness,-5.4690699999999985
2015,loudness,-5.945151515151514
2016,loudness,-6.364585858585859
2017,loudness,-6.1227040816326515
2018,loudness,-5.95938383838384
2019,loudness,-6.00419191919192
2020,loudness,-6.428040816326532
2021,loudness,-6.736628865979381
1971,mode,0.6923076923076923
1972,mode,0.7340425531914894
1973,mode,0.6956521739130435
1974,mode,0.8172043010752689
1975,mode,0.8229166666666666
1976,mode,0.7291666666666666
1977,mode,0.7391304347826086
1978,mode,0.7083333333333334
1979,mode,0.6956521739130435
1980,mode,0.7444444444444445
1981,mode,0.7604166666666666
1982,mode,0.7319587628865979
1983,mode,0.6701030927835051
1984,mode,0.6421052631578947
1985,mode,0.6770833333333334
1986,mode,0.6914893617021277
1987,mode,0.7395833333333334
1988,mode,0.7582417582417582
1989,mode,0.6914893617021277
1990,mode,0.7021276595744681
1991,mode,0.7191011235955056
1992,mode,0.6170212765957447
1993,mode,0.6956521739130435
1994,mode,0.6847826086956522
1995,mode,0.6344086021505376
1996,mode,0.5543478260869565
1997,mode,0.5393258426966292
1998,mode,0.632183908045977
1999,mode,0.6413043478260869
2000,mode,0.5578947368421052
2001,mode,0.6129032258064516
2002,mode,0.6043956043956044
2003,mode,0.5684210526315789
2004,mode,0.6631578947368421
2005,mode,0.6526315789473685
2006,mode,0.5729166666666666
2007,mode,0.5913978494623656
2008,mode,0.6224489795918368
2009,mode,0.6428571428571429
2010,mode,0.6770833333333334
2011,mode,0.7127659574468085
2012,mode,0.6082474226804123
2013,mode,0.6666666666666666
2014,mode,0.68
2015,mode,0.6767676767676768
2016,mode,0.5454545454545454
2017,mode,0.5510204081632653
2018,mode,0.6363636363636364
2019,mode,0.6060606060606061
2020,mode,0.5408163265306123
2021,mode,0.6391752577319587
1971,speechiness,0.051537362637362645
1972,speechiness,0.05702340425531913
1973,speechiness,0.06054347826086958
1974,speechiness,0.052747311827957
1975,speechiness,0.04269062499999999
1976,speechiness,0.052380208333333345
1977,speechiness,0.04475000000000002
1978,speechiness,0.045505208333333325
1979,speechiness,0.04492391304347825
1980,speechiness,0.044942222222222224
1981,speechiness,0.04026666666666665
1982,speechiness,0.039714432989690726
1983,speechiness,0.04670309278350515
1984,speechiness,0.04860210526315788
1985,speechiness,0.041615624999999996
1986,speechiness,0.04202446808510639
1987,speechiness,0.04191562499999999
1988,speechiness,0.044207692307692295
1989,speechiness,0.04678191489361702
1990,speechiness,0.051410638297872326
1991,speechiness,0.05148426966292136
1992,speechiness,0.062072340425531926
1993,speechiness,0.07011521739130436
1994,speechiness,0.0702358695652174
1995,speechiness,0.07043548387096771
1996,speechiness,0.06853913043478259
1997,speechiness,0.07787078651685393
1998,speechiness,0.09610689655172416
1999,speechiness,0.08446413043478262
2000,speechiness,0.06776842105263156
2001,speechiness,0.09709892473118278
2002,speechiness,0.09799010989010991
