year,audio_feature,value
1982,loudness,-9.872536082474227
1983,loudness,-9.367216494845358
1984,loudness,-8.634505263157894
1985,loudness,-9.51666666666667
1986,loudness,-9.991202127659568
1987,loudness,-10.262333333333329
1988,loudness,-9.457417582417586
1989,loudness,-9.250638297872342
1990,loudness,-9.15608510638298
1991,loudness,-9.809685393258425
1992,loudness,-9.28081052631579
1993,loudness,-9.781923913043478
1994,loudness,-8.684688172043012
1995,loudness,-8.302236559139784
1996,loudness,-7.926173913043479
1997,loudness,-8.366566666666667
1998,loudness,-7.818586206896551
1999,loudness,-7.169293478260866
2000,loudness,-6.176747368421053
2001,loudness,-5.933268817204301
2002,loudness,-5.773817204301077
2003,loudness,-5.8926736842105285
2004,loudness,-6.0704
2005,loudness,-6.024843749999999
2006,loudness,-5.881835051546392
2007,loudness,-5.495691489361701
2008,loudness,-5.504979591836737
2009,loudness,-5.049773195876289
2010,loudness,-4.749614583333333
2011,loudness,-5.040393617021275
2012,loudness,-5.198530612244899
2013,loudness,-5.555656249999999
2014,loudness,-5.449399999999998
2015,loudness,-5.9058080808080815
2016,loudness,-6.345111111111111
2017,loudness,-6.116989795918366
2018,loudness,-5.965535353535356
2019,loudness,-6.00649494949495
2020,loudness,-6.434343434343437
2021,loudness,-6.758383838383839
1971,mode,0.6923076923076923
1972,mode,0.7340425531914894
1973,mode,0.6956521739130435
1974,mode,0.8172043010752689
1975,mode,0.8229166666666666
1976,mode,0.7291666666666666
1977,mode,0.7391304347826086
1978,mode,0.7083333333333334
1979,mode,0.6956521739130435
1980,mode,0.7333333333333333
1981,mode,0.7525773195876289
1982,mode,0.7319587628865979
1983,mode,0.6701030927835051
1984,mode,0.6421052631578947
1985,mode,0.6770833333333334
1986,mode,0.6914893617021277
1987,mode,0.7291666666666666
1988,mode,0.7582417582417582
1989,mode,0.6914893617021277
1990,mode,0.7021276595744681
1991,mode,0.7078651685393258
1992,mode,0.6210526315789474
1993,mode,0.6956521739130435
1994,mode,0.6881720430107527
1995,mode,0.6344086021505376
1996,mode,0.5543478260869565
1997,mode,0.5333333333333333
1998,mode,0.632183908045977
1999,mode,0.6413043478260869
2000,mode,0.5578947368421052
2001,mode,0.6129032258064516
2002,mode,0.6129032258064516
2003,mode,0.5684210526315789
2004,mode,0.6631578947368421
2005,mode,0.65625
2006,mode,0.5876288659793815
2007,mode,0.5851063829787234
2008,mode,0.6224489795918368
2009,mode,0.6391752577319587
2010,mode,0.6770833333333334
2011,mode,0.7127659574468085
2012,mode,0.6122448979591837
2013,mode,0.6666666666666666
2014,mode,0.68
2015,mode,0.6767676767676768
2016,mode,0.5454545454545454
2017,mode,0.5510204081632653
2018,mode,0.6363636363636364
2019,mode,0.6060606060606061
2020,mode,0.5353535353535354
2021,mode,0.6363636363636364
1971,speechiness,0.051571428571428574
1972,speechiness,0.05640957446808509
1973,speechiness,0.06054347826086958
1974,speechiness,0.052743010752688176
1975,speechiness,0.042671875
1976,speechiness,0.052380208333333345
1977,speechiness,0.044801086956521755
1978,speechiness,0.04555104166666665
1979,speechiness,0.044960869565217394
1980,speechiness,0.04501444444444446
1981,speechiness,0.040258762886597924
1982,speechiness,0.039602061855670105
1983,speechiness,0.046613402061855665
1984,speechiness,0.048677894736842094
1985,speechiness,0.041615624999999996
1986,speechiness,0.04202446808510639
1987,speechiness,0.041841666666666666
1988,speechiness,0.044207692307692295
1989,speechiness,0.04704255319148938
1990,speechiness,0.052410638297872326
1991,speechiness,0.051432584269662934
1992,speechiness,0.0618884210526316
1993,speechiness,0.07011521739130436
1994,speechiness,0.0697720430107527
1995,speechiness,0.07043548387096771
1996,speechiness,0.06854130434782607
1997,speechiness,0.08061888888888889
1998,speechiness,0.09610689655172416
1999,speechiness,0.08462608695652174
2000,speechiness,0.06776842105263156
2001,speechiness,0.09667849462365591
2002,speechiness,0.10083978494623658
2003,speechiness,0.1415663157894737
2004,speechiness,0.12161684210526312
2005,speechiness,0.1279354166666666
2006,speechiness,0.13059278350515463
2007,speechiness,0.12028085106382971
2008,speechiness,0.09530612244897961
2009,speechiness,0.09667319587628866
2010,speechiness,0.09918333333333339
2011,speechiness,0.08986382978723405
2012,speechiness,0.08608775510204085
2013,speechiness,0.06925208333333335
2014,speechiness,0.08046999999999999
2015,speechiness,0.08668282828282822
2016,speechiness,0.11440000000000003
2017,speechiness,0.12118775510204081
2018,speechiness,0.1195868686868687
2019,speechiness,0.13226666666666675
